2018-12-13 18:47:26,559 [Worker-52] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jp:OnlineBanking:0.0.1-SNAPSHOT @ D:\Amit\workspace_FinalProject\OnlineBanking\pom.xml.
2018-12-13 18:47:28,086 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineBanking/src
2018-12-13 18:47:28,087 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /OnlineBanking/src/test/java because it overlaps with /OnlineBanking/src
2018-12-13 18:47:28,835 [Worker-52] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-12-13 18:47:28,858 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 18:47:28,866 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\main\resources
2018-12-13 18:47:28,870 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 18:47:28,871 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\test\resources
2018-12-13 18:47:29,294 [Worker-52] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jp:OnlineBanking:0.0.1-SNAPSHOT @ D:\Amit\workspace_FinalProject\OnlineBanking\pom.xml.
2018-12-13 18:47:30,035 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineBanking/src
2018-12-13 18:47:30,035 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /OnlineBanking/src/test/java because it overlaps with /OnlineBanking/src
2018-12-13 18:47:30,302 [Worker-52] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for OnlineBanking
2018-12-13 18:47:30,330 [Worker-52] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-12-13 18:47:30,597 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 18:47:30,606 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\main\resources
2018-12-13 18:47:30,608 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 18:47:30,609 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\test\resources
2018-12-13 18:47:30,609 [Worker-55] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of OnlineBanking
2018-12-13 18:47:30,610 [Worker-55] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for OnlineBanking
